Satellite 1,NORAD ID 1,Altitude Range [km],Satellite 2,NORAD ID 2,Altitude Range [km],"Conjunction Node Position [eci, km]",Collision Point A or B,Conjunction Point Altitude [km],Will they Collide?,Time Until Collision [days],Synodic Period [days],Collision Frequency [1/days]
SHIJIAN 6 01B (SJ-6 01B),28414,"[6937.3828282139375, 6948.869536169756]",STARLINK-4414,53213,"[6937.3324183760415, 6938.908759373834]",[-803.96424087 -585.61382531 6867.07500746],0,560.5964010679463,True,34.61666058279028,61.5746284256939,0.016240455290879502
SHIJIAN 6 01B (SJ-6 01B),28414,"[6937.3828282139375, 6948.869536169756]",STARLINK-5892,55954,"[6946.289808504543, 6949.959808028269]",[  292.36380988  2380.35127319 -6519.21654248],0,568.2097455066796,True,58.022570345681366,61.774546050452635,0.016187897183142032
SHIJIAN 6 01B (SJ-6 01B),28414,"[6937.3828282139375, 6948.869536169756]",STARLINK-30073,56840,"[6938.38177473965, 6939.898670792347]",[-1794.24841644  6685.06229545   494.99296986],0,561.2003829305913,True,40.88234039410179,66.63920825291547,0.015006180688772663
SHIJIAN 6 01B (SJ-6 01B),28414,"[6937.3828282139375, 6948.869536169756]",STARLINK-30847,58239,"[6938.429292775408, 6939.943423238724]",[-1825.86367257  6647.64990415   791.72660102],0,561.0170125407512,True,38.41623050074921,66.63920825291547,0.015006180688772663
HELIOS 2A,28492,"[6937.841368650387, 6954.86688261231]",STARLINK-6358,57377,"[6938.24170717249, 6940.044496550353]",[  499.40445469  6527.54802837 -2299.07904891],0,560.4545390083549,True,9.381936519072138,42.74552454406754,0.023394261988037422
EROS B,29079,"[6885.914353457282, 6896.918567261184]",PHISAT 2,60470,"[6886.612346040681, 6887.4305241871725]",[-4.71099930e+00  9.31156847e+02 -6.82357735e+03],0,508.6825210562547,True,25.419888426620698,65.89614145810403,0.015175395370240123
CANX-2,32790,"[6942.945022548123, 6960.205784274794]",YAOGAN-30 S,45461,"[6957.434883324144, 6960.285232403844]",[ 4313.18590194  4944.1382863  -2322.95426249],0,582.0492420745431,True,26.873447399494417,42.52668502967903,0.02351464731619942
RAPIDEYE 1,33314,"[6925.770299470725, 6961.188989136316]",STARLINK-2372,47912,"[6924.238140317211, 6926.9973064181995]",[-4329.22208613  5278.11285414 -1169.22121894],0,547.7360446758776,True,34.75679066667484,51.64933020730886,0.019361335296822314
RAPIDEYE 4,33316,"[6937.359633734639, 6945.035209843652]",STARLINK-4317,53058,"[6937.378250870394, 6938.886600859777]",[  782.59797679 -2364.01361012  6475.03692469],0,559.2344848077755,True,11.003858728533254,66.6114421999742,0.015012435806417463
SHIJIAN 6 03B (SJ-6 03B),33409,"[6930.702558534596, 6954.149908896347]",STARLINK-5809,55775,"[6946.179860445793, 6950.072200648104]",[  986.31825141  2659.42707659 -6340.72015229],0,568.0927772530804,True,27.27073143018818,54.16948389919008,0.018460578318615875
CHUANG XIN 1-02(CX-1-02),33434,"[7157.2553776651075, 7177.574999725058]",QIANFAN-18,60396,"[7165.174588475374, 7189.479889437376]",[-1280.69362052   458.24416643  7037.13329353],0,789.2480780169453,True,16.478770399301574,33.75889448808731,0.02962182308288785
PRISM (HITOMI),33493,"[6851.790514443174, 6865.274389243498]",STARLINK-32241,60437,"[6852.85000707288, 6854.3865882952205]",[-4693.0391213   3839.62654251 -3195.59130001],0,475.99693046035463,True,35.3852526452875,60.84529300569063,0.01643512506228664
SJ-12,36596,"[6914.420656899828, 6928.795452507838]",STARLINK-1791,46692,"[6924.989829575938, 6926.265530194572]",[ 1167.73883604  4884.92202375 -4769.08511536],0,547.9188765307808,True,7.271146909424476,66.32965618472727,0.015076212625239793
TISAT 1,36799,"[6923.594069129931, 6925.834906738227]",ITASAT,43786,"[6910.768041514545, 6933.620974463219]",[-3851.85128575  2048.11144949  5379.15039621],0,547.6682111008458,True,25.829114722626326,66.37431454233851,0.015066068958981492
YAOGAN 10,36834,"[6993.19864614722, 6995.43263056211]",APRIZESAT 7,39416,"[6951.4688950041445, 7006.496778876852]",[ 1069.07743162  -257.28718987 -6908.45083026],0,617.2769353583953,True,9.518337400273012,61.31355175435818,0.01630960809457462
SHIJIAN 6 04B (SJ-6 04B),37180,"[6945.84652545173, 6958.364486625904]",STARLINK-5557,55770,"[6945.947365266204, 6950.302449958295]",[ 1364.89754317  2172.47988112 -6454.66961409],0,567.7519974087372,True,3.320447597290746,66.76852358708814,0.014977117154547692
SHIJIAN 6 04B (SJ-6 04B),37180,"[6945.84652545173, 6958.364486625904]",STARLINK-5921,55926,"[6945.954160461734, 6950.257817311251]",[ 1405.39953947  2434.5296628  -6351.67516352],0,567.7869793938971,True,2.519659766519532,66.76852358708814,0.014977117154547692
SHIJIAN 6 04B (SJ-6 04B),37180,"[6945.84652545173, 6958.364486625904]",STARLINK-6304,56778,"[6946.124056922881, 6950.115056796341]",[ 1632.40868283  4266.16930696 -5233.47113479],0,568.3857835297049,True,5.460783896246557,66.76852358708814,0.014977117154547692
YAOGAN 14,38257,"[6863.0070712024535, 6877.995757087552]",STARLINK-31272,59162,"[6867.288488130439, 6868.869519917165]",[-3852.50676715 -5591.19162464  1036.95802587],0,490.5247416928405,True,17.17947735055733,65.59638277626048,0.015244743043390845
YAOGAN 14,38257,"[6863.0070712024535, 6877.995757087552]",STARLINK-31325,59165,"[6867.292962069663, 6869.00862613803]",[-3797.17598298 -5572.78596166  1306.92656532],0,490.8182238548279,True,18.098246321984995,65.59638277626048,0.015244743043390845
ZACUBE,39417,"[6935.846767301155, 7003.14421576741]",STARLINK-6293,57354,"[6938.396190590524, 6939.87283841521]",[4706.03311985 4666.66533359 2056.52789706],0,561.1583570389193,True,14.516153424624079,51.00161287528869,0.01960722305871468
DUBAISAT 2,39419,"[6926.2180338678845, 6945.695587784046]",STARLINK-5581,55373,"[6938.206949427086, 6940.061086036625]",[-409.90340581 5746.20641351 3869.6060709 ],0,561.6583927132951,True,25.77631756954054,66.53601888286859,0.015029453471816837
DUBAISAT 2,39419,"[6926.2180338678845, 6945.695587784046]",STARLINK-5555,55386,"[6938.25640222764, 6939.993959172889]",[-403.37980949 5777.52228955 3823.51724081],0,561.7306621209918,True,23.97993076187499,66.53601888286859,0.015029453471816837
DUBAISAT 2,39419,"[6926.2180338678845, 6945.695587784046]",STARLINK-5691,55478,"[6938.1799642426695, 6940.072957941255]",[-407.96615716 5755.55868045 3855.92617297],0,561.6799111910777,True,24.977910829616864,66.53601888286859,0.015029453471816837
DUBAISAT 2,39419,"[6926.2180338678845, 6945.695587784046]",STARLINK-5774,56029,"[6938.134109832437, 6940.133968262491]",[-396.5773633  5809.64288998 3775.39096696],0,561.805439789181,True,25.177668100581364,66.53601888286859,0.015029453471816837
DUBAISAT 2,39419,"[6926.2180338678845, 6945.695587784046]",STARLINK-30931,58413,"[6938.3142805508705, 6939.967183873285]",[-395.61512156 5814.14290026 3768.57774726],0,561.8159700246151,True,25.17768066032753,66.53601888286859,0.015029453471816837
UNISAT 5,39421,"[6933.740471683497, 6973.569617046612]",STARLINK-5874,56353,"[6936.045650487401, 6940.25988447837]",[-914.05422501  275.17579001 6870.15709465],0,558.0201022367874,True,40.090688874907876,59.777808644939185,0.01672861589724167
FIRST-MOVE,39439,"[6897.568382899501, 6954.046959295767]",STARLINK-3317,50156,"[6916.805085040293, 6919.4533449037845]",[ 3204.06096606  2835.49879142 -5437.99734366],0,541.2470173863439,True,4.291691931854574,39.83401957373493,0.02510417002102803
FIRST-MOVE,39439,"[6897.568382899501, 6954.046959295767]",STARLINK-4672,53592,"[6917.129796294263, 6919.115297465217]",[ 3225.12139896  2868.44725223 -5407.9358001 ],0,541.0513407579756,True,2.7646460017095014,39.83401957373493,0.02510417002102803
UWE-3,39446,"[6940.42119031196, 7018.768538584364]",TELEOS 2,56310,"[6961.382661473315, 6962.83774250553]",[ 5632.84115245  3910.28703903 -1200.90364204],0,583.2862548956609,True,51.507151133561564,53.463283863645195,0.01870442531271439
SNAP-3,39468,"[6781.17673168535, 6987.923908528351]",STARLINK-30423,57843,"[6840.650772845477, 6842.4678910040375]",[5246.01535568 2666.4837588  3488.27623098],0,462.83396993923816,True,55.756295024218765,62.70519315605885,0.01594764244663483
COSMOS 2493 (SKRL 756),39490,"[6945.9279515414755, 6964.921825827496]",STARLINK-5530,56494,"[6946.037257434255, 6950.122728470111]",[ 4773.37707068 -1459.61853203 -4831.01746972],0,568.3977268035187,True,10.264557840967113,42.09429966889853,0.023756185703663158
NANOSAT C BR1,40024,"[6917.1306437913445, 6925.204878101264]",STARLINK-3279,50185,"[6916.724138357913, 6919.483078076871]",[ 2583.50996142  3784.11645897 -5184.88374452],0,541.1895958440282,True,2.62879654816631,66.32332729361869,0.015077651270011226
NANOSAT C BR1,40024,"[6917.1306437913445, 6925.204878101264]",STARLINK-3532,51727,"[6917.203557707157, 6918.992577867487]",[ 2737.95690463  4276.34449742 -4699.8514471 ],0,540.8321354290765,True,4.086829655093544,66.32332729361869,0.015077651270011226
NANOSAT C BR1,40024,"[6917.1306437913445, 6925.204878101264]",STARLINK-5028,53886,"[6916.860310604097, 6919.19860456076]",[ 2702.35915992  4158.54774882 -4824.63113106],0,540.9185684435897,True,4.286066842998589,66.32332729361869,0.015077651270011226
NANOSAT C BR1,40024,"[6917.1306437913445, 6925.204878101264]",STARLINK-5138,54078,"[6917.152877146756, 6919.062274837729]",[ 2685.01205426  4102.2055582  -4882.2657627 ],0,540.9597005016276,True,4.551485853741992,66.32332729361869,0.015077651270011226
NANOSAT C BR1,40024,"[6917.1306437913445, 6925.204878101264]",STARLINK-5183,54084,"[6917.271243129026, 6918.916365835731]",[ 2797.20607297  4480.05079848 -4469.32073006],0,540.6811620690069,True,3.6220886708140125,66.32332729361869,0.015077651270011226
QB50P1,40025,"[6926.968858189378, 6942.72205312645]",STARLINK-4382,53194,"[6937.018400267362, 6939.198353919445]",[-1373.72107334  -215.13200233  6796.33358751],0,558.976347677798,True,51.47449866745938,66.5200278260522,0.015033066471574078
QB50P1,40025,"[6926.968858189378, 6942.72205312645]",STARLINK-6038,56317,"[6935.94910851364, 6940.340954318526]",[-907.30072086  412.23060217 6864.28360038],0,558.1096805854922,True,50.67505942904208,66.5200278260522,0.015033066471574078
FLOCK 1C 7,40026,"[6839.546058988327, 6853.802203864783]",STARLINK-32010,60279,"[6840.315995459194, 6842.0892351770835]",[-442.54889833 4094.47255945 5461.59109606],0,462.150447769488,True,6.483119989161921,54.35778229100464,0.018396629844950173
FLOCK 1C 9,40035,"[6840.028934253033, 6854.7576772537095]",STARLINK-31987,60017,"[6840.899267152496, 6842.533068973429]",[-134.63925474 4313.38517337 5308.07063622],0,462.84489311482594,True,44.79550804381747,52.40837543908085,0.01908091963587754
FLOCK 1C 5,40038,"[6852.108126768299, 6870.574741103594]",STARLINK-30400,57937,"[6852.641589150347, 6854.723737943533]",[ -38.217189   4455.55931543 5206.35055648],0,474.56724605109594,True,3.9514740654854843,39.0172851872411,0.02562966631842972
FLOCK 1C 5,40038,"[6852.108126768299, 6870.574741103594]",LEMUR 2 THE-CLEANER,58333,"[6843.871305072325, 6856.770459293476]",[-1066.77906363  -600.94521337  6742.74124403],0,474.8705298373625,True,14.36131926631437,27.10261085153996,0.036896814313488194
FLOCK 1C 5,40038,"[6852.108126768299, 6870.574741103594]",STARLINK-32114,60287,"[6852.249898060393, 6854.6540890197275]",[-133.58124313 4107.8592368  5483.11062876],0,474.3701050698437,True,3.099736455588861,37.90437604599429,0.02638217811016254
FLOCK 1C 3,40041,"[6827.885673022429, 6847.870054867595]",STARLINK-32122,60285,"[6827.247265696664, 6828.940632996102]",[-162.42663214 4092.45817411 5463.09680431],0,449.7486911213109,True,27.377248581047855,30.285322539960227,0.033019295029152865
POLYITAN 1,40042,"[6913.691548578415, 6932.643026711615]",STARLINK-5174,54067,"[6917.20158234127, 6919.026580835994]",[ 3676.97350183  4813.73648875 -3343.09842965],0,540.5695428871068,True,1.3655377484790938,60.579440459984646,0.016507250519432307
COSMOS 2503,40420,"[6920.965712312857, 6944.210680535468]",STARLINK-1334,45556,"[6924.345206224041, 6926.679103820285]",[-3695.43791617  5714.05557262  1285.05468791],0,547.0386678208415,True,30.900080737654687,43.34988425590244,0.023068112341357448
CHUBUSAT 3,41339,"[6912.96411263052, 6926.979823854997]",STARLINK-2408,47823,"[6924.770828112013, 6926.41219330005]",[-3783.87803626  5710.88532146  1014.33074829],0,547.2374313956034,True,22.002086649724454,54.503646825221246,0.018347396151430658
COSMOS 2515,41394,"[6913.3451773680645, 6946.802187091133]",STARLINK-1806,47549,"[6924.567715949576, 6926.542884321175]",[ 2393.56873387  6235.29824152 -1832.83079803],0,547.7119861335195,True,40.13412381455759,66.45138233982938,0.015048595902581003
ZY 3 2,41556,"[6875.187940400024, 6880.98754398424]",FLOCK 4BE 8,60515,"[6878.421879095321, 6886.762204131349]",[-525.64651095 -770.38678318 6817.43081215],0,502.7904759053945,True,0.016828420068183653,65.70505891080832,0.01521952824602829
OPTICUBE 04,41851,"[6916.526455154453, 6943.068966346169]",STARLINK-5481,57255,"[6938.44606768123, 6939.742290473881]",[-1750.78965026 -5395.70957997 -3995.53381283],0,560.3957498213977,True,23.229841966238563,33.090811678449604,0.030219869180520893
PROMETHEUS 2-1,41854,"[6865.3568129934665, 6880.598328053859]",STARLINK-31181,58746,"[6867.444805899861, 6868.837664942404]",[  700.87347096 -4974.42287079  4684.41585853],0,490.6226009313996,True,54.03982418711253,62.15335984008184,0.016089234798777746
PROMETHEUS 2-3,41855,"[6866.66736745637, 6879.682411427016]",CARTOSAT 2D,41948,"[6879.136703483596, 6887.305710412002]",[ -945.77507137  1670.48862562 -6606.20052581],0,501.31851051933336,True,25.775010291998004,29.995046094169627,0.03333883858222768
ZHUHAI-1 02,42759,"[6835.296797498552, 6853.713992615572]",SHERPA-FX2/TAGSAT-2,48958,"[6840.966329135617, 6858.202623511838]",[3702.37863732 4949.20498573 2943.95102   ],0,467.96299729718794,True,39.07649928926414,58.63676988909103,0.017054145408955126
ZHUHAI-1 01,42761,"[6834.827017229888, 6852.982527810428]",STARLINK-31648,59266,"[6852.796827804439, 6854.422504017193]",[-5344.30382121  2194.20281329  3686.07801673],0,474.8390297719079,True,0.02318631794969891,30.716666724073782,0.03255561578288907
DSAT,42794,"[6858.724159055832, 7006.597817940497]",STARLINK-31270,59154,"[6867.310121805937, 6868.895279909296]",[ 2826.11869031  5876.36496026 -2156.18433886],0,489.74061255487595,True,11.539007516749583,18.816273720748903,0.05314548538360651
IRIDIUM 123,42804,"[7151.21295241093, 7154.324406786554]",IRIDIUM 172,43927,"[7151.110713060742, 7154.422443986598]",[ -435.09637989   117.27956969 -7140.11728674],0,776.1860445394068,True,0.05220460653744014,0.06968005932244559,14.351308103405653
IRIDIUM 120,42805,"[7151.0727000504885, 7154.471697399322]",IRIDIUM 151,43074,"[7151.067536635911, 7154.475116895983]",[ 272.90981993 -363.30905856 7136.62256477],0,772.9366867806821,True,0.017286331863052146,0.06968011074580925,14.351297512255213
IRIDIUM 117,42808,"[7151.266327372214, 7154.267628396134]",IRIDIUM 126,42809,"[7151.257407222258, 7154.267289618474]",[ 433.46193145 -123.58027335 7137.04798492],0,773.129689824128,True,0.01735505972242426,0.06968003445608188,14.351313224884851
KANOPUS-V-IK,42825,"[6873.298246395136, 6875.510429711121]",VSP RF C1,59136,"[6873.014651229854, 6888.747097260728]",[-2550.16308406  -581.60549967 -6358.48025526],0,497.3170118544813,True,35.10469022836052,46.481818270718485,0.021513788341407384
NORSAT 2,42828,"[6919.001469884966, 6940.628035765583]",STARLINK-5503,57257,"[6938.289196744313, 6939.972629903886]",[ -574.00764896 -5348.82441185 -4381.82231073],0,560.1462266139142,True,59.3782080973622,65.98252451798004,0.01515552803269149
NORSAT 2,42828,"[6919.001469884966, 6940.628035765583]",STARLINK-5026,57260,"[6938.136875319825, 6940.050677383342]",[ -569.85332506 -5375.51740479 -4349.51546246],0,560.1052081885427,True,27.151029560340007,66.24831515047946,0.0150947235069836
CORVUS BC1,42847,"[6937.682292519495, 6951.065489882617]",STARLINK-6103,56114,"[6938.008972257334, 6940.122611697571]",[  464.6642555  -5167.44916649  4609.42746572],0,561.9829788139832,True,46.28556219308462,58.05839688112554,0.017224037412667426
CORVUS BC1,42847,"[6937.682292519495, 6951.065489882617]",STARLINK-6267,56400,"[6938.311691195379, 6939.92017826905]",[  481.72558469 -5064.15629775  4720.80110035],0,561.8703181553665,True,48.218386809519615,58.658311429839806,0.01704788248458333
CORVUS BC1,42847,"[6937.682292519495, 6951.065489882617]",STARLINK-31052,58600,"[6938.224951112871, 6939.999976081059]",[  479.31599701 -5078.98023541  4705.11826455],0,561.886194488613,True,47.48519106831513,58.591654257760446,0.01706727711767159
ORS 5 SENSORSAT,42921,"[6954.292105978208, 6970.014040047686]",YAOGAN-30 AD,49026,"[6955.834269545096, 6962.336839087048]",[-5.57491176e+03  4.16121232e+03 -1.43704905e+00],0,578.5382975549173,True,59.79726429418606,66.91332221212119,0.01494470707686447
YAOGAN-30 B,42946,"[6956.7851777676715, 6961.087192117202]",HAWK-10B,60545,"[6960.725085977989, 6969.881673801192]",[ 5321.98080096 -2154.9541523   3935.11871157],0,582.6435825482749,True,43.33318614023194,48.746007464829276,0.020514500612619606
MAKERSAT 0,43016,"[6808.977955530344, 7059.74527461624]",CENTISPACE-1 S5,54020,"[7058.982294684483, 7081.554834103167]",[ 4040.58242644 -1954.66246866  5448.92499837],0,681.4518937754747,True,2.4175067781722315,46.35960724282651,0.0215705019838091
IRIDIUM 151,43074,"[7151.067536635911, 7154.475116895983]",IRIDIUM 134,43075,"[7151.142423777767, 7154.391210466104]",[ 310.94769753 -324.57175219 7136.94385624],0,772.9470367082522,True,0.01736936824069417,0.06968009800427494,14.351300136498791
LKW-3,43146,"[6867.176480320522, 6873.6387857401505]",STARLINK-31213,58860,"[6867.455458945163, 6868.779632007931]",[-4662.43586388 -3911.47583989 -3181.93842971],0,489.3722720181613,True,20.634691010923856,65.59503971251631,0.015245055180737823
S-NET D,43186,"[6914.401152462554, 6930.369711176675]",STARLINK-1906,46765,"[6924.641167549536, 6926.444578913725]",[5837.76556989 -704.16348469 3657.76371589],0,546.7881594116261,True,2.415445708109032,66.34083088665346,0.015073673130632757
S-NET D,43186,"[6914.401152462554, 6930.369711176675]",STARLINK-2292,48023,"[6924.608396747313, 6926.648686915737]",[5995.60968663 -774.59858081 3378.1928517 ],0,547.144612979856,True,2.0842431338186165,66.34083088665346,0.015073673130632757
S-NET B,43187,"[6913.9732616019455, 6930.845942766309]",STARLINK-2643,48367,"[6924.357428612428, 6926.827094812954]",[5210.02258571 -453.03182865 4538.55145661],0,546.3140616803294,True,3.607904248184752,66.34117834277538,0.0150735941835875
S-NET B,43187,"[6913.9732616019455, 6930.845942766309]",STARLINK-2606,48386,"[6924.437927114912, 6926.787094878642]",[5325.1097123  -495.64449975 4398.7045894 ],0,546.5333158326039,True,3.3428234216447184,66.34117834277538,0.0150735941835875
S-NET A,43188,"[6914.031994191454, 6930.720458798287]",STARLINK-2575,48396,"[6924.581150025614, 6926.5646341019]",[5566.56200579 -576.79111244 4078.79042496],0,546.8779373429234,True,2.879041246307373,66.34069855755352,0.015073703197931438
S-NET C,43189,"[6913.018514535928, 6931.789304977625]",STARLINK-1234,45190,"[6924.679245227163, 6926.436951872574]",[4651.85363837 -251.40128725 5123.27727786],0,546.522915537219,True,5.198815718996431,66.34109651239791,0.01507361277655576
S-NET C,43189,"[6913.018514535928, 6931.789304977625]",STARLINK-2750,48691,"[6924.533062111034, 6926.562247573905]",[4676.21342299 -259.42532529 5100.71207966],0,546.5678454338431,True,2.5452239803156766,66.34109651239791,0.01507361277655576
S-NET C,43189,"[6913.018514535928, 6931.789304977625]",STARLINK-30548,58046,"[6929.2017835707475, 6931.010541279141]",[ 3867.28792837 -1539.92840885 -5541.58631228],0,552.6980349528185,True,29.754248605164527,39.80465790743874,0.025122687960926274
LKW-4,43236,"[6859.047304049108, 6866.005906026617]",FLOCK 4Q 29,58304,"[6863.970000442604, 6878.743417366749]",[ -224.12629384  1005.65852392 -6787.52543982],0,487.14400360861146,True,27.669627833500417,33.985265027374,0.029424516748494778
IRIDIUM 157,43251,"[7150.949774053064, 7154.597688656054]",IRIDIUM 148,43255,"[7151.002892376893, 7154.5220515130895]",[  95.68407939 -438.38514213 7136.90631342],0,772.8607417434023,True,0.0173698487264679,0.06968013314142177,14.351292899662157
IRIDIUM 145,43253,"[7150.950946367794, 7154.6017234091205]",IRIDIUM 142,43256,"[7150.921560226764, 7154.628128151024]",[   -7.91798042   460.37986001 -7139.76552428],0,776.4604066760985,True,0.05207062599383507,0.06968017118567119,14.351285064087742
XJS A,43518,"[6829.008759126224, 6874.573169037369]",ORBASTRO-AF 1,56179,"[6828.861595660316, 6837.516512916478]",[-6323.82364517  1629.98909506 -2026.0150219 ],0,459.4317794830922,True,16.58783159684299,63.95670640360108,0.01563557688054579
